,season,train_accuracy_score_no_grid,test_accuracy_score_no_grid,five_fold_cv_score_no_grid,best_reg,test_accuracy_best_reg,precision,recall,f1_score,auc
0,2014,0.722929131204,0.736223458038,0.722339098369,1,0.736223458038,0.68244842746,0.63739734681,0.659154009472,0.789066578392
1,2015,0.743865223026,0.742162026586,0.741858415198,100,0.742287434161,0.668842322226,0.640882159315,0.654563792234,0.794268613233
2,2016,0.735604183292,0.731132669774,0.734931727326,1,0.731132669774,0.668055555556,0.620245003224,0.643263122701,0.779077514123
