season,Down,OffenseTeam_ARI,OffenseTeam_ATL,OffenseTeam_BAL,OffenseTeam_BUF,OffenseTeam_CAR,OffenseTeam_CHI,OffenseTeam_CIN,OffenseTeam_CLE,OffenseTeam_DAL,OffenseTeam_DEN,OffenseTeam_DET,OffenseTeam_GB,OffenseTeam_HOU,OffenseTeam_IND,OffenseTeam_JAX,OffenseTeam_KC,OffenseTeam_LA,OffenseTeam_MIA,OffenseTeam_NE,OffenseTeam_NO,OffenseTeam_NYG,OffenseTeam_NYJ,OffenseTeam_OAK,OffenseTeam_PHI,OffenseTeam_PIT,OffenseTeam_SD,OffenseTeam_SEA,OffenseTeam_SF,OffenseTeam_TB,OffenseTeam_TEN,OffenseTeam_WAS,DefenseTeam_ARI,DefenseTeam_ATL,DefenseTeam_BUF,DefenseTeam_CAR,DefenseTeam_CHI,DefenseTeam_CIN,DefenseTeam_CLE,DefenseTeam_DAL,DefenseTeam_DEN,DefenseTeam_DET,DefenseTeam_GB,DefenseTeam_HOU,DefenseTeam_IND,DefenseTeam_JAX,DefenseTeam_KC,DefenseTeam_LA,DefenseTeam_MIA,DefenseTeam_MIN,DefenseTeam_NE,DefenseTeam_NO,DefenseTeam_NYG,DefenseTeam_NYJ,DefenseTeam_OAK,DefenseTeam_PHI,DefenseTeam_PIT,DefenseTeam_SD,DefenseTeam_SEA,DefenseTeam_SF,DefenseTeam_TB,DefenseTeam_TEN,DefenseTeam_WAS,YardLineDirection_OPP,YardLineDirection_OWN,Formation_FIELD GOAL,Formation_NO HUDDLE,Formation_NO HUDDLE SHOTGUN,Formation_SHOTGUN,Formation_UNDER CENTER
2014,-0.629606922915,-0.327397964706,-0.640033169512,-0.658237420767,,0.326679244167,-0.128940141264,0.403289371997,,0.210455771223,0.299729856813,-0.359993783885,0.146555731819,0.327869461952,-0.424009588177,0.107664567748,,-0.262494448739,0.368693935539,-0.375898810092,-0.353266994448,0.213697316442,0.580537333264,-0.182270585656,0.65806429535,-0.103467364875,0.269655477776,0.721316482055,,-0.216967721442,,,,0.163378735118,,,,,0.185448345098,,-0.182122964825,,,,-0.111266898013,0.142270689571,0.152314001425,,0.201966496518,,0.100363128601,,0.114683281845,-0.101061915714,0.227152399502,-0.130513535034,-0.223030488447,0.165977454101,,,,,,0.5162911746,0.299533723168,,1.09285797011,-0.835602805803,-0.584880377216,1.1495174776
2015,-0.592745678051,-0.498640869166,-0.503927441683,-0.5554281174,0.866139376193,0.733030558018,0.650081152981,0.310501015495,-0.21759710827,-0.124217352807,,-0.241231452104,0.302634993153,-0.111543849254,-0.415359010118,-0.404859061622,0.236360012268,,0.249491160963,-0.351610079815,-0.456110088312,0.108724437975,,,0.949345492915,,0.556475413186,0.423582013126,,-0.287408332341,-0.167472307319,-0.240329545061,-0.186266064772,,,,,-0.160506654327,0.19363999171,0.149591665106,,0.103821443608,0.112424586496,0.128997296862,,,,-0.103463520034,0.298345242519,0.120406204686,,,-0.216593033882,,-0.332988459137,0.154512948252,,,-0.106961399654,0.190129637854,0.110248958576,0.417566038446,,0.629386192172,0.36617551897,0.900641675934,1.06451099915,-1.17724626119,-0.884052603353,1.0917079006
2016,-0.580590915912,-0.574375006516,-0.518456173792,-0.264092584877,0.75791322348,0.560477483917,,,-0.130207013508,,-0.374227905494,0.190863465562,,0.210935055957,-0.303196431997,,0.113389079446,-0.122942591616,0.235878594105,,-0.380086468978,0.338767595596,,,,,,0.109492518291,1.12522463317,-0.242124256014,0.12668853548,-0.338334754241,,-0.230176194633,0.281081287355,-0.177829626252,0.303308497296,,0.198455639602,-0.106005791567,0.114080938463,,,,,,0.108819162802,,,,,-0.263892748777,,,,,,,0.151588263185,0.266589048883,,-0.282804076977,0.131540545278,0.353720247372,0.333536199553,,0.987787236975,-0.920489913822,-0.623192226343,1.20969057495
