,acc_score_best_reg_means,precision_means,recall_means,f1_means,auc_means,W,L,Win_Pct
acc_score_best_reg_means,1.0,0.625853321408,0.647820766627,0.750879629911,0.925633943433,0.0354575999804,-0.0303626719108,0.0320981932526
precision_means,0.625853321408,1.0,0.147460546221,0.433200723341,0.503480435951,0.20393805915,-0.203180082153,0.203192754183
recall_means,0.647820766627,0.147460546221,1.0,0.939480098408,0.730249717779,0.0436454272632,-0.0492989565297,0.0471699867102
f1_means,0.750879629911,0.433200723341,0.939480098408,1.0,0.815649028291,0.111444643822,-0.117726948936,0.115201584053
auc_means,0.925633943433,0.503480435951,0.730249717779,0.815649028291,1.0,0.0492950798575,-0.0436607678674,0.045373277137
W,0.0354575999804,0.20393805915,0.0436454272632,0.111444643822,0.0492950798575,1.0,-0.997883132943,0.999220753455
L,-0.0303626719108,-0.203180082153,-0.0492989565297,-0.117726948936,-0.0436607678674,-0.997883132943,1.0,-0.999654762083
Win_Pct,0.0320981932526,0.203192754183,0.0471699867102,0.115201584053,0.045373277137,0.999220753455,-0.999654762083,1.0
