season,dwn,sg,nh,uc,timo,timd,off_ARI,off_ATL,off_BAL,off_BUF,off_CAR,off_CHI,off_CIN,off_CLE,off_DAL,off_DEN,off_DET,off_GB,off_HOU,off_IND,off_JAC,off_KC,off_LA,off_MIA,off_MIN,off_NE,off_NO,off_NYG,off_NYJ,off_OAK,off_PHI,off_PIT,off_SD,off_SEA,off_SF,off_TB,off_TEN,off_WAS,def_ARI,def_ATL,def_BUF,def_CAR,def_CHI,def_CLE,def_DAL,def_DEN,def_DET,def_GB,def_KC,def_LA,def_MIA,def_MIN,def_NE,def_NO,def_NYG,def_NYJ,def_PHI,def_PIT,def_SD,def_TB,def_TEN,def_WAS,zone_1,zone_3,zone_4,zone_5
2014,-0.58504665791,-0.453310033723,-0.112920402778,1.1744694231,0.194014821969,,-0.207913200022,-0.493286289514,-0.53920082202,,0.494722146028,,0.341127601045,,,0.112712125282,-0.351146559423,,0.39870246556,-0.375339817269,0.148521923775,,0.208544872357,0.146628614516,-0.501865432527,-0.305309640016,,0.667651314029,,0.299725904813,-0.12716701103,0.255156938362,0.604038243761,,-0.32803868787,,0.194556395248,,,,0.106099732189,-0.100196548236,-0.209972008834,0.107595331781,0.149137342392,,-0.134168560832,0.318926479753,0.160431691809,0.100622788544,0.131278410181,0.178149496516,,,-0.130966096311,,-0.190800728477,0.105311133247,0.164759461624,-0.170916295173,,,0.104790580527,0.144736848911,0.226392092797,0.25139866296
2015,-0.513905776995,-0.502629503738,-0.148691132641,1.30125201491,0.132418505814,-0.101043096908,-0.738537874938,-0.354966753993,-0.481737540317,0.861939030338,0.462669923804,0.584947834993,0.227733561164,,,,-0.272492093332,0.328816889781,,,-0.199364618999,0.156857931164,0.188927303741,,-0.496193514415,-0.516173227829,,,-0.140156837449,0.796752661819,,0.574489518007,0.159055508852,0.271650295218,-0.101586430183,,,-0.294300348306,,-0.120502512444,,,-0.109986907579,0.218611493377,0.246395435328,,,0.141353080026,0.173412845993,,0.204423332396,0.156895725114,,-0.2277276882,,-0.270014510286,,,,,,0.106854489395,0.187098481225,0.121252507994,0.188720881795,0.241027711482
2016,-0.558941124578,-0.461554407536,-0.265158927636,1.22450801151,0.221848638772,-0.163388604496,-0.658671155258,-0.549492171981,-0.345183060813,0.783428242781,0.387719663641,0.170381923095,,0.135716451573,0.10168963665,-0.456212737011,0.137689623629,,0.246350386717,-0.185273862516,0.202611411629,,,0.131427091725,-0.114840370772,-0.299865020548,-0.385492809283,0.199286671301,0.259794085139,,0.171640549867,,,0.11737099711,1.10999699212,-0.174205414994,0.164357470143,-0.307088992251,0.205251231182,,0.228243542385,-0.122040622449,0.218380754928,,,0.14652043942,,,0.216378056682,,,,0.262407324068,-0.110409841744,,,,,,,-0.133074138656,,0.269205693068,,0.138287012224,0.192108772424
